id,role,start_time,end_time,required_skill
S90,extra_inventory,2025-07-10T05:00:00,2025-07-10T13:00:00,inventory
S91,extra_maintenance,2025-07-11T06:00:00,2025-07-11T14:00:00,maintenance
S92,split_cook_shift_1,2025-07-07T10:00:00,2025-07-07T14:00:00,cook
S93,split_cook_shift_2,2025-07-07T16:00:00,2025-07-07T20:00:00,cook
S94,split_cashier_shift_1,2025-07-08T09:00:00,2025-07-08T13:00:00,cashier
S95,split_cashier_shift_2,2025-07-08T17:00:00,2025-07-08T21:00:00,cashier
S96,overlap_manager_1,2025-07-09T10:00:00,2025-07-09T18:00:00,manager
S97,overlap_manager_2,2025-07-09T14:00:00,2025-07-09T22:00:00,manager
S98,late_night_inventory,2025-07-10T22:00:00,2025-07-11T06:00:00,inventory
S99,early_morning_maintenance,2025-07-11T04:00:00,2025-07-11T12:00:00,maintenance
S100,rush_hour_support_1,2025-07-07T11:00:00,2025-07-07T15:00:00,customer_service
S101,rush_hour_support_2,2025-07-08T11:00:00,2025-07-08T15:00:00,customer_service
S102,lunch_rush_cook,2025-07-09T10:00:00,2025-07-09T16:00:00,cook
S103,dinner_rush_cook,2025-07-10T16:00:00,2025-07-10T22:00:00,cook
S104,peak_cashier_1,2025-07-11T11:00:00,2025-07-11T17:00:00,cashier
S105,peak_cashier_2,2025-07-12T12:00:00,2025-07-12T18:00:00,cashier
S106,weekend_backup_manager,2025-07-12T11:00:00,2025-07-12T19:00:00,manager
S107,weekend_backup_cook,2025-07-13T08:00:00,2025-07-13T16:00:00,cook
S108,weekend_backup_cashier,2025-07-13T15:00:00,2025-07-13T23:00:00,cashier
S109,closing_inventory,2025-07-13T22:00:00,2025-07-14T06:00:00,inventory
S110,overnight_maintenance,2025-07-13T23:00:00,2025-07-14T07:00:00,maintenance
S111,short_morning_shift,2025-07-07T08:00:00,2025-07-07T12:00:00,customer_service
S112,short_afternoon_shift,2025-07-08T14:00:00,2025-07-08T18:00:00,customer_service
S113,double_cook_coverage,2025-07-09T06:00:00,2025-07-09T22:00:00,cook
S114,extended_cashier_shift,2025-07-10T08:00:00,2025-07-11T00:00:00,cashier
S115,manager_training_shift,2025-07-11T09:00:00,2025-07-11T17:00:00,manager
S116,inventory_audit,2025-07-12T06:00:00,2025-07-12T18:00:00,inventory
S117,deep_clean_maintenance,2025-07-13T06:00:00,2025-07-13T18:00:00,maintenance
S118,customer_service_peak,2025-07-07T12:00:00,2025-07-07T20:00:00,customer_service
S119,backup_evening_cook,2025-07-08T19:00:00,2025-07-09T03:00:00,cook
S120,emergency_coverage,2025-07-13T16:00:00,2025-07-14T00:00:00,manager
