id,role,start_time,end_time,required_skill
S81,early_morning_cook,2025-07-11T05:00:00Z,2025-07-11T13:00:00Z,cook
S82,morning_cook,2025-07-11T06:00:00Z,2025-07-11T14:00:00Z,cook
S83,prep_cook_early,2025-07-11T04:00:00Z,2025-07-11T12:00:00Z,prep_cook
S84,dishwasher_morning,2025-07-11T07:00:00Z,2025-07-11T15:00:00Z,dishwasher
S85,cashier_opening,2025-07-11T08:00:00Z,2025-07-11T16:00:00Z,cashier
S86,server_lunch,2025-07-11T10:00:00Z,2025-07-11T18:00:00Z,server
S87,host_day,2025-07-11T09:00:00Z,2025-07-11T17:00:00Z,host
S88,manager_day,2025-07-11T08:00:00Z,2025-07-11T16:00:00Z,manager
S89,grill_cook_lunch,2025-07-11T11:00:00Z,2025-07-11T19:00:00Z,grill_cook
S90,server_afternoon,2025-07-11T14:00:00Z,2025-07-11T22:00:00Z,server
S91,cashier_afternoon,2025-07-11T12:00:00Z,2025-07-11T20:00:00Z,cashier
S92,cook_dinner,2025-07-11T15:00:00Z,2025-07-11T23:00:00Z,cook
S93,bartender_evening,2025-07-11T17:00:00Z,2025-07-12T01:00:00Z,bartender
S94,server_evening,2025-07-11T16:00:00Z,2025-07-12T00:00:00Z,server
S95,host_evening,2025-07-11T18:00:00Z,2025-07-12T02:00:00Z,host
S96,manager_closing,2025-07-11T19:00:00Z,2025-07-12T03:00:00Z,manager
S97,dishwasher_evening,2025-07-11T20:00:00Z,2025-07-12T04:00:00Z,dishwasher
S98,prep_cook_night,2025-07-11T21:00:00Z,2025-07-12T05:00:00Z,prep_cook
S99,grill_cook_dinner,2025-07-11T16:00:00Z,2025-07-12T00:00:00Z,grill_cook
S100,server_late,2025-07-11T20:00:00Z,2025-07-12T04:00:00Z,server
S101,early_morning_cook,2025-07-12T05:00:00Z,2025-07-12T13:00:00Z,cook
S102,morning_cook,2025-07-12T06:00:00Z,2025-07-12T14:00:00Z,cook
S103,prep_cook_early,2025-07-12T04:00:00Z,2025-07-12T12:00:00Z,prep_cook
S104,dishwasher_morning,2025-07-12T07:00:00Z,2025-07-12T15:00:00Z,dishwasher
S105,cashier_opening,2025-07-12T08:00:00Z,2025-07-12T16:00:00Z,cashier
S106,server_lunch,2025-07-12T10:00:00Z,2025-07-12T18:00:00Z,server
S107,host_day,2025-07-12T09:00:00Z,2025-07-12T17:00:00Z,host
S108,manager_day,2025-07-12T08:00:00Z,2025-07-12T16:00:00Z,manager
S109,grill_cook_lunch,2025-07-12T11:00:00Z,2025-07-12T19:00:00Z,grill_cook
S110,server_afternoon,2025-07-12T14:00:00Z,2025-07-12T22:00:00Z,server
S111,cashier_afternoon,2025-07-12T12:00:00Z,2025-07-12T20:00:00Z,cashier
S112,cook_dinner,2025-07-12T15:00:00Z,2025-07-12T23:00:00Z,cook
S113,bartender_evening,2025-07-12T17:00:00Z,2025-07-13T01:00:00Z,bartender
S114,server_evening,2025-07-12T16:00:00Z,2025-07-13T00:00:00Z,server
S115,host_evening,2025-07-12T18:00:00Z,2025-07-13T02:00:00Z,host
S116,manager_closing,2025-07-12T19:00:00Z,2025-07-13T03:00:00Z,manager
S117,dishwasher_evening,2025-07-12T20:00:00Z,2025-07-13T04:00:00Z,dishwasher
S118,prep_cook_night,2025-07-12T21:00:00Z,2025-07-13T05:00:00Z,prep_cook
S119,grill_cook_dinner,2025-07-12T16:00:00Z,2025-07-13T00:00:00Z,grill_cook
S120,server_late,2025-07-12T20:00:00Z,2025-07-13T04:00:00Z,server
S121,early_morning_cook,2025-07-13T05:00:00Z,2025-07-13T13:00:00Z,cook
S122,morning_cook,2025-07-13T06:00:00Z,2025-07-13T14:00:00Z,cook
S123,prep_cook_early,2025-07-13T04:00:00Z,2025-07-13T12:00:00Z,prep_cook
S124,dishwasher_morning,2025-07-13T07:00:00Z,2025-07-13T15:00:00Z,dishwasher
S125,cashier_opening,2025-07-13T08:00:00Z,2025-07-13T16:00:00Z,cashier
S126,server_lunch,2025-07-13T10:00:00Z,2025-07-13T18:00:00Z,server
S127,host_day,2025-07-13T09:00:00Z,2025-07-13T17:00:00Z,host
S128,manager_day,2025-07-13T08:00:00Z,2025-07-13T16:00:00Z,manager
S129,grill_cook_lunch,2025-07-13T11:00:00Z,2025-07-13T19:00:00Z,grill_cook
S130,server_afternoon,2025-07-13T14:00:00Z,2025-07-13T22:00:00Z,server
S131,cashier_afternoon,2025-07-13T12:00:00Z,2025-07-13T20:00:00Z,cashier
S132,cook_dinner,2025-07-13T15:00:00Z,2025-07-13T23:00:00Z,cook
S133,bartender_evening,2025-07-13T17:00:00Z,2025-07-14T01:00:00Z,bartender
S134,server_evening,2025-07-13T16:00:00Z,2025-07-14T00:00:00Z,server
S135,host_evening,2025-07-13T18:00:00Z,2025-07-14T02:00:00Z,host
S136,manager_closing,2025-07-13T19:00:00Z,2025-07-14T03:00:00Z,manager
S137,dishwasher_evening,2025-07-13T20:00:00Z,2025-07-14T04:00:00Z,dishwasher
S138,prep_cook_night,2025-07-13T21:00:00Z,2025-07-14T05:00:00Z,prep_cook
S139,grill_cook_dinner,2025-07-13T16:00:00Z,2025-07-14T00:00:00Z,grill_cook
S140,server_late,2025-07-13T20:00:00Z,2025-07-14T04:00:00Z,server
S141,weekend_brunch_cook,2025-07-12T09:00:00Z,2025-07-12T17:00:00Z,cook
S142,weekend_brunch_server,2025-07-12T08:00:00Z,2025-07-12T16:00:00Z,server
S143,weekend_host,2025-07-12T10:00:00Z,2025-07-12T18:00:00Z,host
S144,weekend_manager,2025-07-12T07:00:00Z,2025-07-12T15:00:00Z,manager
S145,weekend_cashier,2025-07-12T11:00:00Z,2025-07-12T19:00:00Z,cashier
S146,weekend_bartender,2025-07-12T12:00:00Z,2025-07-12T20:00:00Z,bartender
S147,weekend_prep_cook,2025-07-12T06:00:00Z,2025-07-12T14:00:00Z,prep_cook
S148,weekend_dishwasher,2025-07-12T13:00:00Z,2025-07-12T21:00:00Z,dishwasher
S149,weekend_grill_cook,2025-07-12T14:00:00Z,2025-07-12T22:00:00Z,grill_cook
S150,weekend_server_late,2025-07-12T18:00:00Z,2025-07-13T02:00:00Z,server
S151,weekend_brunch_cook,2025-07-13T09:00:00Z,2025-07-13T17:00:00Z,cook
S152,weekend_brunch_server,2025-07-13T08:00:00Z,2025-07-13T16:00:00Z,server
S153,weekend_host,2025-07-13T10:00:00Z,2025-07-13T18:00:00Z,host
S154,weekend_manager,2025-07-13T07:00:00Z,2025-07-13T15:00:00Z,manager
S155,weekend_cashier,2025-07-13T11:00:00Z,2025-07-13T19:00:00Z,cashier
S156,weekend_bartender,2025-07-13T12:00:00Z,2025-07-13T20:00:00Z,bartender
S157,weekend_prep_cook,2025-07-13T06:00:00Z,2025-07-13T14:00:00Z,prep_cook
S158,weekend_dishwasher,2025-07-13T13:00:00Z,2025-07-13T21:00:00Z,dishwasher
S159,weekend_grill_cook,2025-07-13T14:00:00Z,2025-07-13T22:00:00Z,grill_cook
S160,weekend_server_late,2025-07-13T18:00:00Z,2025-07-14T02:00:00Z,server
S161,special_event_cook,2025-07-09T17:00:00Z,2025-07-10T01:00:00Z,cook
S162,special_event_server,2025-07-09T16:00:00Z,2025-07-10T00:00:00Z,server
S163,special_event_bartender,2025-07-09T18:00:00Z,2025-07-10T02:00:00Z,bartender
S164,special_event_host,2025-07-09T17:30:00Z,2025-07-10T01:30:00Z,host
S165,special_event_manager,2025-07-09T16:30:00Z,2025-07-10T00:30:00Z,manager
S166,catering_prep_cook,2025-07-08T03:00:00Z,2025-07-08T11:00:00Z,prep_cook
S167,catering_cook,2025-07-08T04:00:00Z,2025-07-08T12:00:00Z,cook
S168,catering_server,2025-07-08T12:00:00Z,2025-07-08T20:00:00Z,server
S169,catering_manager,2025-07-08T11:00:00Z,2025-07-08T19:00:00Z,manager
S170,double_shift_cook,2025-07-10T05:00:00Z,2025-07-10T21:00:00Z,cook
S171,double_shift_server,2025-07-10T08:00:00Z,2025-07-11T00:00:00Z,server
S172,split_shift_cook,2025-07-07T06:00:00Z,2025-07-07T10:00:00Z,cook
S173,split_shift_cook_evening,2025-07-07T18:00:00Z,2025-07-07T22:00:00Z,cook
S174,split_shift_server,2025-07-07T11:00:00Z,2025-07-07T15:00:00Z,server
S175,split_shift_server_evening,2025-07-07T19:00:00Z,2025-07-07T23:00:00Z,server
S176,rush_hour_cook,2025-07-08T11:30:00Z,2025-07-08T14:30:00Z,cook
S177,rush_hour_server,2025-07-08T11:00:00Z,2025-07-08T15:00:00Z,server
S178,rush_hour_cashier,2025-07-08T11:30:00Z,2025-07-08T14:30:00Z,cashier
S179,rush_hour_host,2025-07-08T11:00:00Z,2025-07-08T15:00:00Z,host
S180,training_cook,2025-07-07T13:00:00Z,2025-07-07T17:00:00Z,cook
S181,training_server,2025-07-07T14:00:00Z,2025-07-07T18:00:00Z,server
S182,training_cashier,2025-07-07T15:00:00Z,2025-07-07T19:00:00Z,cashier
S183,training_host,2025-07-07T16:00:00Z,2025-07-07T20:00:00Z,host
S184,holiday_prep_cook,2025-07-11T02:00:00Z,2025-07-11T10:00:00Z,prep_cook
S185,holiday_cook,2025-07-11T03:00:00Z,2025-07-11T11:00:00Z,cook
S186,holiday_server,2025-07-11T10:00:00Z,2025-07-11T18:00:00Z,server
S187,holiday_bartender,2025-07-11T14:00:00Z,2025-07-11T22:00:00Z,bartender
S188,holiday_manager,2025-07-11T12:00:00Z,2025-07-11T20:00:00Z,manager
S189,inventory_manager,2025-07-13T01:00:00Z,2025-07-13T05:00:00Z,manager
S190,deep_clean_dishwasher,2025-07-13T02:00:00Z,2025-07-13T06:00:00Z,dishwasher
S191,emergency_cook,2025-07-10T12:00:00Z,2025-07-10T16:00:00Z,cook
S192,emergency_server,2025-07-10T13:00:00Z,2025-07-10T17:00:00Z,server
S193,backup_cashier,2025-07-09T09:00:00Z,2025-07-09T13:00:00Z,cashier
S194,backup_host,2025-07-09T17:00:00Z,2025-07-09T21:00:00Z,host
S195,overtime_cook,2025-07-12T01:00:00Z,2025-07-12T05:00:00Z,cook
S196,overtime_server,2025-07-12T02:00:00Z,2025-07-12T06:00:00Z,server
S197,coverage_prep_cook,2025-07-08T22:00:00Z,2025-07-09T02:00:00Z,prep_cook
S198,coverage_dishwasher,2025-07-08T23:00:00Z,2025-07-09T03:00:00Z,dishwasher
S199,final_cook,2025-07-13T23:00:00Z,2025-07-14T03:00:00Z,cook
S200,final_server,2025-07-13T22:00:00Z,2025-07-14T02:00:00Z,server
